wavelength_nm,mean,std,min,max,n_pixels,class_name
906.4,0.2457803715423098,0.08219942497378248,0.0537,0.5384,29391,forest
909.6,0.24542988329760804,0.08179677208314592,0.054,0.5385,29391,forest
912.8,0.24513915144091702,0.08143210899629667,0.0543,0.5388,29391,forest
915.99,0.24464569426014712,0.08101007245490921,0.0546,0.5385,29391,forest
919.19,0.24390340580449862,0.0805148797900779,0.055,0.5376,29391,forest
922.39,0.24303168657071905,0.07999048047314831,0.0551,0.5364,29391,forest
925.58,0.2422956074988955,0.07953433686029582,0.055,0.5355,29391,forest
928.78,0.24161096594195575,0.07911460971540688,0.0549,0.5347,29391,forest
931.98,0.24084899459018072,0.07868700462656288,0.0548,0.5337,29391,forest
935.17,0.23928911231329184,0.07799946831026405,0.0547,0.5308,29391,forest
938.37,0.23790250416794154,0.07739414623366768,0.0546,0.5283,29391,forest
941.57,0.23666905515293904,0.0768633987908877,0.0544,0.5263,29391,forest
944.76,0.23579085434316704,0.07647609753224457,0.0542,0.525,29391,forest
947.96,0.23459485216562864,0.07599164676053403,0.054,0.5229,29391,forest
951.16,0.23321612398353173,0.07546025217296631,0.0538,0.5203,29391,forest
954.35,0.23194891633493342,0.07499037274333684,0.0536,0.518,29391,forest
957.55,0.23099477731278292,0.07465421698234173,0.0534,0.5166,29391,forest
960.75,0.23023213568779566,0.0744072778487719,0.0533,0.5157,29391,forest
963.94,0.22940796842570943,0.07415908466607131,0.0531,0.5146,29391,forest
967.14,0.22860247354632304,0.07394006653317729,0.0529,0.5137,29391,forest
970.1,0.2278246197815646,0.07375245370976612,0.0527,0.5128,29391,forest
975.54,0.22723819196352607,0.07364307835850155,0.0525,0.5123,29391,forest
980.98,0.2263671021741345,0.0735564949338797,0.0522,0.5119,29391,forest
986.42,0.2259489027253228,0.07369457795115061,0.0519,0.5127,29391,forest
991.86,0.22552317035827363,0.07388989530469203,0.0516,0.5191,29391,forest
997.3,0.22476268585621395,0.07401258882178567,0.0512,0.5259,29391,forest
1002.74,0.2262046442788615,0.07494579995887121,0.0509,0.538,29391,forest
1008.18,0.233244758599572,0.07766551761937943,0.052,0.5591,29391,forest
1013.62,0.23723246572079845,0.07876765046313818,0.0534,0.5663,29391,forest
1019.06,0.2402064475519713,0.07955491473779622,0.0539,0.5708,29391,forest
1024.5,0.24273612670545366,0.08017198842377023,0.055,0.5746,29391,forest
1029.95,0.242544180191215,0.07990038209929187,0.0553,0.5721,29391,forest
1035.39,0.24235503385390156,0.07965746739657305,0.0556,0.568,29391,forest
1040.83,0.24393799122180337,0.0800242101294296,0.0558,0.571,29391,forest
1046.27,0.24795859957129712,0.08115065595771058,0.0564,0.5774,29391,forest
1051.71,0.25129064679663826,0.08206786728300702,0.0571,0.5832,29391,forest
1057.15,0.2551642237419613,0.0831355574525039,0.059,0.5912,29391,forest
1062.59,0.2565269810486197,0.08348154610725037,0.0588,0.5938,29391,forest
1068.03,0.257540104113503,0.08368524915910448,0.059,0.5956,29391,forest
1073.47,0.2527150420196644,0.08205365963527424,0.0592,0.5873,29391,forest
1078.91,0.24811825728964648,0.08044913848550643,0.0577,0.5755,29391,forest
1084.35,0.24848956483277246,0.08072331405972157,0.0571,0.5807,29391,forest
